127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 19:45:01, GET, /, HTTP/1.1, 303, 0.011000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.572000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.010000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.012000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.040000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.051000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.052000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.020000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.034000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.045000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 19:45:02, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/default/index, HTTP/1.1, 200, 0.224000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.011000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/js/web2py.js, HTTP/1.1, 304, 0.019000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.032000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.050000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.017000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/js/calendar.js, HTTP/1.1, 304, 0.049000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/js/jquery.js, HTTP/1.1, 304, 0.051000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 19:45:11, GET, /Raynime/static/images/facebook.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-06-28 21:12:56, GET, /, HTTP/1.1, 303, 0.013000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.173000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 21:12:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 21:13:01, GET, /Raynime/default/index, HTTP/1.1, 404, 0.051000
127.0.0.1, 2018-06-28 21:13:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 21:13:04, GET, /Raynime/default/, HTTP/1.1, 404, 0.008000
127.0.0.1, 2018-06-28 21:13:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 21:13:07, GET, /Raynime/default/home, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-06-28 21:13:07, GET, /Raynime/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 21:13:07, GET, /Raynime/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 21:13:07, GET, /Raynime/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 21:13:07, GET, /Raynime/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 21:13:07, GET, /Raynime/static/js/calendar.js, HTTP/1.1, 304, 0.001000

